xB1,B1,xB2,B2,xHm,Hm,xH,H,xHM,HM
22.0,10.8,42.0,9.9,26.0,28.8,24.0,18.8,26.0,27.0
24.0,15.3,40.0,13.5,27.0,35.0,25.0,22.5,28.0,41.3
25.0,18.2,38.0,19.8,28.0,42.3,26.0,27.9,29.0,49.4
26.0,22.3,37.0,23.9,29.0,51.5,27.0,33.6,30.0,56.6
27.0,27.5,36.0,30.4,30.0,61.1,28.0,41.3,31.0,62.9
28.0,34.2,35.0,37.0,31.0,68.3,29.0,51.0,32.0,66.5
29.0,40.6,34.0,43.3,32.0,73.7,30.0,60.2,33.0,67.4
30.0,48.5,33.0,49.4,33.0,76.8,31.0,64.9,34.0,66.1
31.0,52.8,32.0,52.6,34.0,77.5,32.0,69.2,35.0,65.5
32.0,53.0,31.0,52.1,35.0,77.3,33.0,71.1,36.0,65.5
33.0,49.4,30.0,47.6,36.0,76.4,34.0,71.4,37.0,66.5
34.0,43.2,29.0,40.5,37.0,72.8,35.0,71.1,38.0,67.4
35.0,36.9,28.0,33.3,38.0,67.4,36.0,71.7,39.0,65.7
36.0,30.6,27.0,26.9,39.0,58.4,37.0,71.0,40.0,60.2
37.0,25.2,26.0,22.5,40.0,48.8,38.0,68.4,41.0,53.0
38.0,20.6,24.0,14.9,41.0,39.5,39.0,62.9,42.0,42.3
40.0,14.3,22.0,10.8,42.0,31.5,40.0,54.8,43.0,35.9
42.0,10.3,,,,,41.0,46.7,,
,,,,,,42.0,37.8,,
,,,,,,43.0,30.5,,
,,,,,,44.0,25.0,,
